French,Tamazight_Kabyle,LLM_Translation
Je sais ce que tu vas dire.,Ẓriɣ dacu ara d-tiniḍ.,Zriɣ ayen ara d-tinid.
Vous avez sept enfants.,Ɣur-went sebεa warrac.,Tesɛam sebɛa n dderya.
Elle détourna le regard.,Teddewweṛ udem-is.,Tezzi tamuqli-s.
Je m'appelle Juba.,Isem-iw Yuba.,Isem-iw Yuba.
Nous sommes en retard.,Aql-aɣ nɛeṭṭel.,Neɛḍel.
Tu es en retard.,Aql-ik tɛeṭṭleḍ.,Teɛḍled.
L'anglais est parlé par environ un milliard de personnes.,Azul umelyaṛ i iheddṛen taglizit.,"Taglizit, ttmeslayen-t azal n yiwen n umelyar n yemdanen."
Debout !,Kker !,Kker!
Reconnaissez-vous qui que ce soit ?,Tɛeqqlem albaɛḍ ?,Takkzem kra n yiwen?
Reconnaissez-vous qui que ce soit ?,Tɛeqqleḍ albaɛḍ ?,Tessnem yiwen?
"Mon père est grand, gros et brun, et ma mère petite, blonde et mince.","Baba d aɣezzfan, d azuran, d aras, ma d yemma d tawezzlant,d tacebḥant, d tarqaqt.","Baba d ameqqran, d azuran u d asemmar, ma d yemma d tameẓyant, d tawraɣt u d tarqaqt."
"Pardon, qui es-tu ?","Suref-iyi, wi ik-ilan ?","Suref-iyi, anwa i d kečč?"
Parlez-vous français ?,Tettmeslayeḍ s tefransist ?,Tmeslayem tafransist?
Parlez-vous français ?,Tettmeslayem s tefransist ?,Tmeslayem tafransist?
Je m'appelle Tom. Mademoiselle Fischer est ma sœur.,Nekk isem-iw Tom. Massa Fisher d weltma.,Isem-iw Tom. Tamsirt Fischer d weltma.
Je suis un collègue de mademoiselle Marie Fischer.,Nekk xeddmeɣ akked Massa Marie Fisher.,D amdakkul n lxedma n tamsirt Marie Fischer.
La petite dame là-bas est ma mère.,Tameṭṭut adi d yemma.,Tamettuṭ-nni tamecṭuḥt dihin d yemma.
La petite dame là-bas est ma mère.,Tameṭṭut ihin d yemma.,Tamettuṭ-nni tamecṭuḥt dihin d yemma.
Savez-vous pourquoi Tom rit ?,Tezram ayen la yettadṣa Tom ?,Teẓram acuɣer i iṭṭeḍṣa Tom?
Je crois que c'est un ami de mademoiselle Schmitt.,Icebbayi rebbi wagi d amdakel n massa Schmitt.,Ttwaliɣ d amdakkul n Massa Schmitt.
Je crois que c'est un ami de mademoiselle Schmitt.,Waqil wagi d amdakel n massa Schmitt.,Ttwaliɣ d amdakkul n Massa Schmitt.
J'espère qu'elle aime ça.,Ssaram-aɣ tḥemmel aya.,Ssarameɣ tḥemmel aya.
Je vais vous préparer quelque chose à manger.,Awen-d heggiɣ ayen ad teččem.,Ad awen-heggiɣ kra ara teččem.
Je vais te préparer quelque chose à manger.,Ag_d heggiɣ ayen ad teččeḍ.,Ad ak-heggiɣ kra ara teččeḍ.
Vous n’avez rien d’honnête au cœur. Pour vous l’amour est un jeu où vous trichez toujours.,"Ur tesɛam ara niyya deg ulawen, ɣurwen tayri d urar anda tettkellixem yal-ass.",Ur tesɛim acemma n ṣṣfa deg wul. Ɣur-wen tayri d urar ideg tteḥrayem daymen.
Doutez-vous de mon amour ?,Tcukkeḍ deg uḥemmel-inu?,Tettcukkum deg tayri-inu?
"Si elle te trompe, elle est indigne de toi !","Ma yella texdeɛ-ik, ur k-tuklal ara!","Ma txeḍɛ-ik, ur k-tustahil ara!"
"Toute ma colère tomba, je retrouvai mon sourire.","Zzεaf-nni yakk yekkes-iyi, tuɣal-iyi-d teḍsa.","Yers-d zzeɛf-iw meṛṛa, yuɣal-iyi-d ucmumeḥ-iw."
Elle passe encore aujourd’hui pour une des belles femmes de Paris.,Akka tura d yiwet seg tlawin icebḥen di Lpari merra.,Mazal-itt ar ass-a tettwaḥseb d yiwet seg tlawin ticebḥanin n Paris.
"Comme tous les jeunes gens, j’aimais une femme de six ans plus âgée que moi.","Am ilmeẓyen akk, ḥemmleɣ tameṭṭut i y-iɣelben s setta iseggasen.","Am akk ilemziyen, ḥemmleɣ yiwet n tmeṭṭut i yi-yugaren s sdis n iseggasen."
J'aimais pour la première fois.,Ḥemmleɣ i tikelt tamezwarut.,Ḥemmleɣ tikkelt tamezwarut.
Des chutes de neige sont attendues en milieu de semaine prochaine.,Ad d-yewwet udfel deg uzgen n ddurt i d-iteddun.,Ad d-yeɣli udfel di tlemmast n dduṛt i d-iteddun.
De nouvelles chutes de neige sont attendues en début de semaine prochaine.,Ad d-yuɣal udfel di tazwara n ddurt i d-iteddun.,Ad d-yewwet udfel amaynut deg tazwara n dduṛt i d-iteddun.
Attends ! Je viens tout de suite !,Arǧu ! Aqliyin !,Rǧu! Ad d-aseɣ tura!
Ma fille est encore petite.,Yelli mazal-itt mecṭuḥet.,Yelli mazal-itt d tameẓyant.
Ma fille est encore petite.,Yelli mazal-itt meẓẓiyet.,Yelli mazal-itt d tameẓyant.
La mère de Sami s'est remariée.,Yemma-s n Sami tɛawed zwaǧǧ.,Yemma-s n Sami tɛawed tzewweǧ.
« Où est Tom ? » – « Il est à la maison. »,Anda yella Tom ? - Atan deg uxxam.,« Anda yella Tom ? » – « Yella deg uxxam. »
Viens-tu avec moi au café ?,Ad tedduḍ yid-i ɣer lqahwa ?,At-tedduḍ yid-i ɣer lqahwa?
Marie boit une limonade.,Marie la tess lgazuz.,Marie tessew llimunad.
Vous êtes souvent ici ?,Dagi i tettilim ?,Tellam dagi s waṭas?
Comment est le thé ?,Amek it-ga latay agi ?,Amek i gella latay?
"Je m'appelle Marie, et comment vous appelez-vous ?","Nekk isem-iw Marie, i kečč ?","Isem-iw Marie, i kunwi amek i wen-semman?"
"Je m'appelle Marie, et comment vous appelez-vous ?","Nekk isem-iw Marie, i kemm ?","Isem-iw Marie, i kunwi amek i wen-semman?"
L'ami de Tom s'appelle Pierre.,Amdakel n Tom isem-is Pierre.,Amdakkel n Tom isem-is Pierre.
Qui est l'amie de Marie ?,Anwa d amdakel n Marie ?,Anta i d tameddakelt n Marie?
Pourquoi suis-je seul ?,Ayen ur sɛiɣ ḥedd ?,Ayɣer i lliɣ weḥd-i?
Avez-vous de la chance ?,Tesɛam ẓẓher?,Tesɛam zzher?
Un escalier se balaie en commençant par le haut.,"Aḍummu n terkabin, ibeddu s uwessawen.",Askalu seg ufella i d-yettfres.
Sami ne peut pas le prouver.,Sami ur yezmir ara ad ibeggen aya.,Sami ur yezmir ara a t-ibeggen.
Sami devint subitement aveugle et sourd.,Sami teɣlid fella-s teddarɣelt d tiɛẓegt.,Sami yuɣal d aderɣal d azzugger taswiɛt kan.
On ne prête qu'aux riches.,Nttarḍal kan i-y-imerkantiyen.,Ur nreṭṭel ala i wid yesɛan.
Ne tenez aucun compte de ce qu'il dit.,Ur semḥas ara yark iwayen id yeqqar.,Ur s-semḥisset ara i wayen i d-yeqqar.
Sors.,Ffeɣ.,Ffeɣ.
Tenez.,Ṭṭfet.,Ṭṭfet.
Relaxe !,Ssers iman-ik !,Sers iman-ik!
Monte.,Ali.,Ali.
Montez.,Alit.,Alit.
Sors !,Ffeɣ !,Ffeɣ!
Sortez !,Ffeɣt-iyi.,Ffɣet!
Dégage !,Ffeɣ-iyi syagi !,Beɛɛed!
Disparais !,Ruḥ si ger wallen-iw !,Nger!
Disparais !,Ruḥ ur-k ttwaliɣ ara !,Nger!
Reculez !,Uɣalet ɣer deffir !,Wexxret!
Allez !,Aha-san !,Eyya !
Viens !,Yya !,As-d !
Venez !,Yyaw !,Aset-ed!
Avancez !,Aẓet !,Qedmet!
Descends !,Ṣubbed !,Ader !
File !,Ruḥ !,Ṛuḥ !
Filez !,Ruḥet !,Ṛuḥet!
Travaillons !,Yyaw ad neqdec !,A nexdem !
Le voilà.,Atan.,Atan.
À plus.,Taswiɛt.,Ar ticki.
Travaillez-vous ?,Txedmeḍ ?,Txeddmem?
Parle distinctement.,Sefhem iman-ik.,Ssiwel s lbezz.
Elle marche.,Ad tleḥḥu,Tetteddu.
Elle marche.,Ad tetteddu.,Tleḥḥu.
Ça ira.,Kullec ad iɛeddi.,Ad yelhu.
La voilà !,Attan !,A-tt-an!
Descendons ici.,Yyaw ad nṣub saygi.,A n-subb dagi.
Allons marcher.,Yyaw ad nelḥu.,Aya ad nelḥu.
Il partit.,Iruḥ.,Iruḥ.
Bien cuit !,Yebba akken yelha !,Yewwa mliḥ!
Ferme-la !,Susem axir !,Belɛ-itt!
Ferme-la !,Ṭṭef axenfuc-ik !,Belɛ-itt!
Après vous.,Deffir nwen.,Zwiret-d
Il court.,Ittazzal.,Yettazzal.
Allons déjeuner.,Kker ad nefteṛ.,Aya ad nečč imekli.
Ben voyons !,Muqel san !,Ihi !
Me voici.,Aqli da.,Aql-iyi.
Tais-toi !,Ṭṭef axenfuc-ik !,Ssusem!
Tais-toi !,Ṭṭef axenfuc-im !,Ssusem!
Oubliez-le !,Ttut-tt !,Ttut-t !
Passe devant !,Ɛeddi ɣer zdat !,Zwir zdat!
Oh non !,Oh yaa !,Ayyaw !
Je paierai.,Ad xelṣeɣ.,Ad xelseɣ.
Échauffe-toi !,Seḥmu iman-ik !,Sseḥmu iman-ik!
Échauffez-vous !,Heggit iman-nwen !,Sseḥmut iman-nwen!
Échauffez-vous !,Seḥmut iman-nwen !,Sseḥmut!
Arrête ça !,Ahasan dayen !,Ḥbes aya !
Sauve-toi !,Rwel !,Sellek iman-ik !
Recule-toi !,Uɣal ɣer deffir !,Wexxer!
Reculez-vous !,Uɣalet ɣer deffir !,Wexxret!
Soyez calme !,Ur ttagadet ara !,Serset iman-nwen!
Soyez calme !,Ur tqelliqet ara !,Hdut!
Sois juste !,Ilik d aḥeqqani !,Ili d uɣdim!
Sois équitable !,Ilik d aḥeqqani !,Ili-k d aḥeqqi!
Dis-moi !,Iniyi-d !,Ini-yi-d!
Prenez-le !,Awit-tt !,Awit-t!
Garde-le !,Anef-as ɣur-ek !,Ḥrez-it!
Montre-moi !,Sken-iyi-d !,Sken-iyi!
Montrez-moi !,Skenet-iyi-d !,Sknet-iyi-d!
Approchez.,Aẓet-d.,Qerbet-d.
Je pars.,Ad ruḥeɣ.,Ad ṛuḥeɣ.
Vas-y !,Aha-san !,Ruh!
Sans problème.,Ulac aɣbel.,Bla ugur.
Laisse-nous !,Eǧǧ-aɣ,Eǧǧ-aɣ.
Laissez-nous !,Ǧǧet-aɣ !,Eǧǧet-aɣ !
Regarde-nous !,Muql-aɣ-d !,Muqel-aɣ !
Qui vient ?,Anwa ad d-yasen ?,Anwa i d-iteddun?
Nous irons.,Ad nruḥ.,Ad nṛuḥ.
Nettoyez-le.,Ṣfeḍet-tt.,Sizdget-t
Nettoie-le.,Ṣfeḍ-it.,Sizdeg-it.
Nettoyez ça.,Ṣfeḍet wagi.,Sizdget aya.
Regardez ça.,Walit wagi.,Muqlet aya.
Asseyons-nous.,Yyaw ad neqqim.,A n-qqim.
J'écoute.,Selleɣ.,Selleɣ
Redresse-toi.,Seqɛed iman-ik.,Ssemsawi iman-ik.
Maman pleurait.,Yemma tettru.,Yemma tettru.
J'aiderai.,Ad ɛiwneɣ.,Ad εiwneɣ.
Je chanterai.,Ad cnuɣ.,Ad ccnuɣ.
Tu commences.,Kečč tebdiḍ.,Tebdid
Vous commencez.,Kunwi tebdam.,Tebeddum.
"Toi, conduis !","Kečč, selḥu.","Kečč, nher!"
Prépare-toi.,Heggi iman-ik.,Heggi iman-ik.
Préparez-vous.,Heggit iman-nwen.,Heggit iman-nwen.
Embrassons-nous.,Yyaw ad nemsudan.,A n-msuden.
Nous obéirons.,Nukni ad naɣ awal.,Ad naɣ awal.
Tom reste.,Tom ad yeqqim.,Tom yeqqim.
Pourquoi demandes-tu ?,Ayɣer tseqsayeḍ ?,Ayɣer i testeqsayeḍ?
Je le prends.,Ad t-ddmeɣ.,Tteddmeɣ-t.
Il fait froid.,Semmeḍ lḥal.,Isemmeḍ lḥal.
J'aime courir.,Ḥemmleɣ ad azzleɣ.,Ḥemmleɣ tazzla.
J'utilise cela.,Seqdaceɣ ayagi.,Sseqdaceɣ aya.
Il est ici !,Atan dagi !,Atan dagi!
