French,Tamazight_Kabyle,LLM_Translation,BLEU_Score,CER
Je sais ce que tu vas dire.,Ẓriɣ dacu ara d-tiniḍ.,Zriɣ ayen ara d-tinid.,0.08034284189446518,0.3
Vous avez sept enfants.,Ɣur-went sebεa warrac.,Tesɛam sebɛa n dderya.,0.0,0.75
Elle détourna le regard.,Teddewweṛ udem-is.,Tezzi tamuqli-s.,0.0,0.6875
Je m'appelle Juba.,Isem-iw Yuba.,Isem-iw Yuba.,0.316227766016838,0.0
Nous sommes en retard.,Aql-aɣ nɛeṭṭel.,Neɛḍel.,0.0,0.6923076923076923
Tu es en retard.,Aql-ik tɛeṭṭleḍ.,Teɛḍled.,0.0,0.7142857142857143
L'anglais est parlé par environ un milliard de personnes.,Azul umelyaṛ i iheddṛen taglizit.,"Taglizit, ttmeslayen-t azal n yiwen n umelyar n yemdanen.",0.023980296761827107,1.21875
Debout !,Kker !,Kker!,0.1778279410038923,0.0
Reconnaissez-vous qui que ce soit ?,Tɛeqqlem albaɛḍ ?,Takkzem kra n yiwen?,0.0,1.0
Reconnaissez-vous qui que ce soit ?,Tɛeqqleḍ albaɛḍ ?,Tessnem yiwen?,0.0,0.7333333333333333
"Mon père est grand, gros et brun, et ma mère petite, blonde et mince.","Baba d aɣezzfan, d azuran, d aras, ma d yemma d tawezzlant,d tacebḥant, d tarqaqt.","Baba d ameqqran, d azuran u d asemmar, ma d yemma d tameẓyant, d tawraɣt u d tarqaqt.",0.2059018817845789,0.3026315789473684
"Pardon, qui es-tu ?","Suref-iyi, wi ik-ilan ?","Suref-iyi, anwa i d kečč?",0.05372849659117709,0.5555555555555556
Parlez-vous français ?,Tettmeslayeḍ s tefransist ?,Tmeslayem tafransist?,0.0,0.28
Parlez-vous français ?,Tettmeslayem s tefransist ?,Tmeslayem tafransist?,0.0,0.24
Je m'appelle Tom. Mademoiselle Fischer est ma sœur.,Nekk isem-iw Tom. Massa Fisher d weltma.,Isem-iw Tom. Tamsirt Fischer d weltma.,0.10335094640592336,0.2972972972972973
Je suis un collègue de mademoiselle Marie Fischer.,Nekk xeddmeɣ akked Massa Marie Fisher.,D amdakkul n lxedma n tamsirt Marie Fischer.,0.02777619034011792,0.6756756756756757
La petite dame là-bas est ma mère.,Tameṭṭut adi d yemma.,Tamettuṭ-nni tamecṭuḥt dihin d yemma.,0.11362193664674995,0.85
La petite dame là-bas est ma mère.,Tameṭṭut ihin d yemma.,Tamettuṭ-nni tamecṭuḥt dihin d yemma.,0.11362193664674995,0.6666666666666666
Savez-vous pourquoi Tom rit ?,Tezram ayen la yettadṣa Tom ?,Teẓram acuɣer i iṭṭeḍṣa Tom?,0.05372849659117709,0.48148148148148145
Je crois que c'est un ami de mademoiselle Schmitt.,Icebbayi rebbi wagi d amdakel n massa Schmitt.,Ttwaliɣ d amdakkul n Massa Schmitt.,0.15557221826646012,0.4222222222222222
Je crois que c'est un ami de mademoiselle Schmitt.,Waqil wagi d amdakel n massa Schmitt.,Ttwaliɣ d amdakkul n Massa Schmitt.,0.1837868600016897,0.2777777777777778
J'espère qu'elle aime ça.,Ssaram-aɣ tḥemmel aya.,Ssarameɣ tḥemmel aya.,0.24028114141347542,0.05
Je vais vous préparer quelque chose à manger.,Awen-d heggiɣ ayen ad teččem.,Ad awen-heggiɣ kra ara teččem.,0.06389431042462725,0.4074074074074074
Je vais te préparer quelque chose à manger.,Ag_d heggiɣ ayen ad teččeḍ.,Ad ak-heggiɣ kra ara teččeḍ.,0.06389431042462725,0.38461538461538464
Vous n’avez rien d’honnête au cœur. Pour vous l’amour est un jeu où vous trichez toujours.,"Ur tesɛam ara niyya deg ulawen, ɣurwen tayri d urar anda tettkellixem yal-ass.",Ur tesɛim acemma n ṣṣfa deg wul. Ɣur-wen tayri d urar ideg tteḥrayem daymen.,0.19674979811155635,0.4
Doutez-vous de mon amour ?,Tcukkeḍ deg uḥemmel-inu?,Tettcukkum deg tayri-inu?,0.11362193664674995,0.5454545454545454
"Si elle te trompe, elle est indigne de toi !","Ma yella texdeɛ-ik, ur k-tuklal ara!","Ma txeḍɛ-ik, ur k-tustahil ara!",0.05789300674674099,0.40625
"Toute ma colère tomba, je retrouvai mon sourire.","Zzεaf-nni yakk yekkes-iyi, tuɣal-iyi-d teḍsa.","Yers-d zzeɛf-iw meṛṛa, yuɣal-iyi-d ucmumeḥ-iw.",0.0,0.7692307692307693
Elle passe encore aujourd’hui pour une des belles femmes de Paris.,Akka tura d yiwet seg tlawin icebḥen di Lpari merra.,Mazal-itt ar ass-a tettwaḥseb d yiwet seg tlawin ticebḥanin n Paris.,0.23462350320528,0.6862745098039216
"Comme tous les jeunes gens, j’aimais une femme de six ans plus âgée que moi.","Am ilmeẓyen akk, ḥemmleɣ tameṭṭut i y-iɣelben s setta iseggasen.","Am akk ilemziyen, ḥemmleɣ yiwet n tmeṭṭut i yi-yugaren s sdis n iseggasen.",0.024316915840399723,0.47540983606557374
J'aimais pour la première fois.,Ḥemmleɣ i tikelt tamezwarut.,Ḥemmleɣ tikkelt tamezwarut.,0.09681772177713914,0.1111111111111111
Des chutes de neige sont attendues en milieu de semaine prochaine.,Ad d-yewwet udfel deg uzgen n ddurt i d-iteddun.,Ad d-yeɣli udfel di tlemmast n dduṛt i d-iteddun.,0.06376715693797415,0.3333333333333333
De nouvelles chutes de neige sont attendues en début de semaine prochaine.,Ad d-yuɣal udfel di tazwara n ddurt i d-iteddun.,Ad d-yewwet udfel amaynut deg tazwara n dduṛt i d-iteddun.,0.06985342056580097,0.35555555555555557
Attends ! Je viens tout de suite !,Arǧu ! Aqliyin !,Rǧu! Ad d-aseɣ tura!,0.0,0.9230769230769231
Ma fille est encore petite.,Yelli mazal-itt mecṭuḥet.,Yelli mazal-itt d tameẓyant.,0.16990442448471224,0.391304347826087
Ma fille est encore petite.,Yelli mazal-itt meẓẓiyet.,Yelli mazal-itt d tameẓyant.,0.16990442448471224,0.34782608695652173
La mère de Sami s'est remariée.,Yemma-s n Sami tɛawed zwaǧǧ.,Yemma-s n Sami tɛawed tzewweǧ.,0.668740304976422,0.15384615384615385
« Où est Tom ? » – « Il est à la maison. »,Anda yella Tom ? - Atan deg uxxam.,« Anda yella Tom ? » – « Yella deg uxxam. »,0.25406637407730737,0.22580645161290322
Viens-tu avec moi au café ?,Ad tedduḍ yid-i ɣer lqahwa ?,At-tedduḍ yid-i ɣer lqahwa?,0.3096787331587729,0.08
Marie boit une limonade.,Marie la tess lgazuz.,Marie tessew llimunad.,0.0814136751754278,0.55
Vous êtes souvent ici ?,Dagi i tettilim ?,Tellam dagi s waṭas?,0.08034284189446518,1.0666666666666667
Comment est le thé ?,Amek it-ga latay agi ?,Amek i gella latay?,0.09554427922043669,0.42105263157894735
"Je m'appelle Marie, et comment vous appelez-vous ?","Nekk isem-iw Marie, i kečč ?","Isem-iw Marie, i kunwi amek i wen-semman?",0.16348126556655487,1.0416666666666667
"Je m'appelle Marie, et comment vous appelez-vous ?","Nekk isem-iw Marie, i kemm ?","Isem-iw Marie, i kunwi amek i wen-semman?",0.16348126556655487,0.9583333333333334
L'ami de Tom s'appelle Pierre.,Amdakel n Tom isem-is Pierre.,Amdakkel n Tom isem-is Pierre.,0.668740304976422,0.037037037037037035
Qui est l'amie de Marie ?,Anwa d amdakel n Marie ?,Anta i d tameddakelt n Marie?,0.09554427922043669,0.3181818181818182
Pourquoi suis-je seul ?,Ayen ur sɛiɣ ḥedd ?,Ayɣer i lliɣ weḥd-i?,0.0,0.5294117647058824
Avez-vous de la chance ?,Tesɛam ẓẓher?,Tesɛam zzher?,0.1495348781221221,0.16666666666666666
Un escalier se balaie en commençant par le haut.,"Aḍummu n terkabin, ibeddu s uwessawen.",Askalu seg ufella i d-yettfres.,0.0,0.7222222222222222
Sami ne peut pas le prouver.,Sami ur yezmir ara ad ibeggen aya.,Sami ur yezmir ara a t-ibeggen.,0.43012508513132625,0.18181818181818182
Sami devint subitement aveugle et sourd.,Sami teɣlid fella-s teddarɣelt d tiɛẓegt.,Sami yuɣal d aderɣal d azzugger taswiɛt kan.,0.03303164318013808,0.6923076923076923
On ne prête qu'aux riches.,Nttarḍal kan i-y-imerkantiyen.,Ur nreṭṭel ala i wid yesɛan.,0.0,0.8518518518518519
Ne tenez aucun compte de ce qu'il dit.,Ur semḥas ara yark iwayen id yeqqar.,Ur s-semḥisset ara i wayen i d-yeqqar.,0.039281465090051315,0.3142857142857143
Sors.,Ffeɣ.,Ffeɣ.,0.1778279410038923,0.0
Tenez.,Ṭṭfet.,Ṭṭfet.,0.1778279410038923,0.0
Relaxe !,Ssers iman-ik !,Sers iman-ik!,0.1495348781221221,0.08333333333333333
Monte.,Ali.,Ali.,0.1778279410038923,0.0
Montez.,Alit.,Alit.,0.1778279410038923,0.0
Sors !,Ffeɣ !,Ffeɣ!,0.1778279410038923,0.0
Sortez !,Ffeɣt-iyi.,Ffɣet!,0.0,0.625
Dégage !,Ffeɣ-iyi syagi !,Beɛɛed!,0.0,0.9230769230769231
Disparais !,Ruḥ si ger wallen-iw !,Nger!,0.0,0.8421052631578947
Disparais !,Ruḥ ur-k ttwaliɣ ara !,Nger!,0.0,0.9473684210526315
Reculez !,Uɣalet ɣer deffir !,Wexxret!,0.0,0.8235294117647058
Allez !,Aha-san !,Eyya !,0.0,0.8333333333333334
Viens !,Yya !,As-d !,0.0,1.0
